"ster.not","species","fix","sample_id","status","family","T1_empty","T2_alien_native","trans_date_c"
"nonster","Solidago_gigantea","1498","FDMP19H001153-1a_L1_SV1498","alien","Compositae",0.333333333333333,0.5,33
"nonster","Solidago_gigantea","1525","FDMP19H001153-1a_L1_SV1525","alien","Compositae",0.333333333333333,0.5,33
"nonster","Plantago_media","1636","FDMP19H001153-1a_L1_SV1636","native","Plantaginaceae",0.333333333333333,-0.5,2
"nonster","Plantago_media","1660","FDMP19H001153-1a_L1_SV1660","native","Plantaginaceae",0.333333333333333,-0.5,2
"nonster","Plantago_media","1693","FDMP19H001153-1a_L1_SV1693","native","Plantaginaceae",0.333333333333333,-0.5,2
"nonster","Plantago_media","1709","FDMP19H001153-1a_L1_SV1709","native","Plantaginaceae",0.333333333333333,-0.5,2
"nonster","Plantago_media","1721","FDMP19H001153-1a_L1_SV1721","native","Plantaginaceae",0.333333333333333,-0.5,2
"ster","non-conditioned","1731","FDMP19H001153-1a_L1_SV1731","non-conditioned","non-conditioned",-0.666666666666667,0,0
"ster","non-conditioned","1733","FDMP19H001153-1a_L1_SV1733","non-conditioned","non-conditioned",-0.666666666666667,0,0
"ster","non-conditioned","1736","FDMP19H001153-1a_L1_SV1736","non-conditioned","non-conditioned",-0.666666666666667,0,0
"ster","non-conditioned","1737","FDMP19H001153-1a_L1_SV1737","non-conditioned","non-conditioned",-0.666666666666667,0,0
"ster","non-conditioned","1738","FDMP19H001153-1a_L1_SV1738","non-conditioned","non-conditioned",-0.666666666666667,0,0
"ster","non-conditioned","1739","FDMP19H001153-1a_L1_SV1739","non-conditioned","non-conditioned",-0.666666666666667,0,0
"ster","Dactylis_glomerata","1741","FDMP19H001153-1a_L1_SV1741","native","Poaceae",0.333333333333333,-0.5,0
"ster","Dactylis_glomerata","1742","FDMP19H001153-1a_L1_SV1742","native","Poaceae",0.333333333333333,-0.5,0
"ster","Dactylis_glomerata","1743","FDMP19H001154-1a_L1_SV1743","native","Poaceae",0.333333333333333,-0.5,0
"ster","Dactylis_glomerata","1744","FDMP19H001154-1a_L1_SV1744","native","Poaceae",0.333333333333333,-0.5,0
"ster","Dactylis_glomerata","1745","FDMP19H001154-1a_L1_SV1745","native","Poaceae",0.333333333333333,-0.5,0
"ster","Cynosurus_cristatus","1746","FDMP19H001154-1a_L1_SV1746","native","Poaceae",0.333333333333333,-0.5,0
"ster","Cynosurus_cristatus","1747","FDMP19H001154-1a_L1_SV1747","native","Poaceae",0.333333333333333,-0.5,0
"ster","Cynosurus_cristatus","1748","FDMP19H001154-1a_L1_SV1748","native","Poaceae",0.333333333333333,-0.5,0
"ster","Cynosurus_cristatus","1750","FDMP19H001154-1a_L1_SV1750","native","Poaceae",0.333333333333333,-0.5,0
"ster","Leontodon_autumnalis","1751","FDMP19H001154-1a_L1_SV1751","native","Compositae",0.333333333333333,-0.5,0
"ster","Leontodon_autumnalis","1752","FDMP19H001154-1a_L1_SV1752","native","Compositae",0.333333333333333,-0.5,0
"ster","Leontodon_autumnalis","1753","FDMP19H001154-1a_L1_SV1753","native","Compositae",0.333333333333333,-0.5,0
"ster","Leontodon_autumnalis","1754","FDMP19H001154-1a_L1_SV1754","native","Compositae",0.333333333333333,-0.5,0
"ster","Leontodon_autumnalis","1755","FDMP19H001154-1a_L1_SV1755","native","Compositae",0.333333333333333,-0.5,0
"ster","Lolium_multiflorum","1756","FDMP19H001154-1a_L1_SV1756","alien","Poaceae",0.333333333333333,0.5,0
"ster","Lolium_multiflorum","1757","FDMP19H001154-1a_L1_SV1757","alien","Poaceae",0.333333333333333,0.5,0
"ster","Lolium_multiflorum","1758","FDMP19H001154-1a_L1_SV1758","alien","Poaceae",0.333333333333333,0.5,0
"ster","Lolium_multiflorum","1759","FDMP19H001154-1a_L1_SV1759","alien","Poaceae",0.333333333333333,0.5,0
"ster","Lolium_multiflorum","1760","FDMP19H001154-1a_L1_SV1760","alien","Poaceae",0.333333333333333,0.5,0
"ster","Lotus_corniculatus","1761","FDMP19H001154-1a_L1_SV1761","native","Leguminosae",0.333333333333333,-0.5,0
"ster","Lotus_corniculatus","1762","FDMP19H001154-1a_L1_SV1762","native","Leguminosae",0.333333333333333,-0.5,0
