"ster.not","species","fix","sample_id","status","family","T1_empty","T2_alien_native","trans_date_c"
"nonster","Onobrychis_viciifolia","1147","FDMP19H001243-1a_L1_ITS1147","alien","Leguminosae",0.333333333333333,0.5,0
"nonster","Salvia_pratensis","1194","FDMP19H001243-1a_L1_ITS1194","native","Lamiaceae",0.333333333333333,-0.5,0
"nonster","Salvia_pratensis","1225","FDMP19H001243-1a_L1_ITS1225","native","Lamiaceae",0.333333333333333,-0.5,0
"nonster","Salvia_pratensis","1248","FDMP19H001243-1a_L1_ITS1248","native","Lamiaceae",0.333333333333333,-0.5,0
"nonster","Salvia_pratensis","1252","FDMP19H001243-1a_L1_ITS1252","native","Lamiaceae",0.333333333333333,-0.5,0
"nonster","Salvia_pratensis","1259","FDMP19H001243-1a_L1_ITS1259","native","Lamiaceae",0.333333333333333,-0.5,0
"nonster","non-conditioned","132","FDMP19H001243-1a_L1_ITS132","non-conditioned","non-conditioned",-0.666666666666667,0,0
"nonster","non-conditioned","195","FDMP19H001243-1a_L1_ITS195","non-conditioned","non-conditioned",-0.666666666666667,0,0
"nonster","non-conditioned","225","FDMP19H001243-1a_L1_ITS225","non-conditioned","non-conditioned",-0.666666666666667,0,0
"nonster","non-conditioned","313","FDMP19H001243-1a_L1_ITS313","non-conditioned","non-conditioned",-0.666666666666667,0,0
"nonster","non-conditioned","322","FDMP19H001243-1a_L1_ITS322","non-conditioned","non-conditioned",-0.666666666666667,0,0
"nonster","Dactylis_glomerata","350","FDMP19H001243-1a_L1_ITS350","native","Poaceae",0.333333333333333,-0.5,0
"nonster","Dactylis_glomerata","386","FDMP19H001243-1a_L1_ITS386","native","Poaceae",0.333333333333333,-0.5,0
"nonster","Dactylis_glomerata","387","FDMP19H001243-1a_L1_ITS387","native","Poaceae",0.333333333333333,-0.5,0
"nonster","Dactylis_glomerata","426","FDMP19H001243-1a_L1_ITS426","native","Poaceae",0.333333333333333,-0.5,0
"nonster","Dactylis_glomerata","428","FDMP19H001243-1a_L1_ITS428","native","Poaceae",0.333333333333333,-0.5,0
"nonster","Dactylis_glomerata","443","FDMP19H001243-1a_L1_ITS443","native","Poaceae",0.333333333333333,-0.5,0
"nonster","Cynosurus_cristatus","478","FDMP19H001243-1a_L1_ITS478","native","Poaceae",0.333333333333333,-0.5,0
"nonster","Cynosurus_cristatus","489","FDMP19H001243-1a_L1_ITS489","native","Poaceae",0.333333333333333,-0.5,0
"nonster","Cynosurus_cristatus","525","FDMP19H001243-1a_L1_ITS525","native","Poaceae",0.333333333333333,-0.5,0
"nonster","Cynosurus_cristatus","592","FDMP19H001243-1a_L1_ITS592","native","Poaceae",0.333333333333333,-0.5,0
"nonster","Cynosurus_cristatus","593","FDMP19H001243-1a_L1_ITS593","native","Poaceae",0.333333333333333,-0.5,0
