fix,sp_p1,family_p1,origin_p1,bio_p1,bio_p1_0,target,family,origin_p2,biomass,root,comp,family_comp,competition,trans_date_c,comb
380,Dactylis glomerata,Poaceae,native,3.749,3.749,Lotus corniculatus,Leguminosae,native,0.88,NA,Solidago canadensis,Compositae,inter,0,H3
380,Dactylis glomerata,Poaceae,native,3.749,3.749,Solidago canadensis,Compositae,alien,1.471,NA,Lotus corniculatus,Leguminosae,inter,0,H3
840,Lolium multiflorum,Poaceae,alien,4.093,4.093,Senecio inaequidens,Compositae,alien,1.97,1.022,alone,alone,alone,0,A10
100,empty,empty,empty,NA,0,Salvia pratensis,Lamiaceae,native,0.61,1.006,alone,alone,alone,0,A4
1250,Salvia pratensis,Lamiaceae,native,5.047,5.047,Leontodon autumnalis,Compositae,native,1.008,0.488,alone,alone,alone,0,A2
1615,Plantago media,Plantaginaceae,native,3.972,3.972,Plantago media,Plantaginaceae,native,0.164,NA,Onobrychis viciifolia,Leguminosae,inter,2,H10
1615,Plantago media,Plantaginaceae,native,3.972,3.972,Onobrychis viciifolia,Leguminosae,alien,0.009,NA,Plantago media,Plantaginaceae,inter,2,H10
1549,Solidago gigantea,Compositae,alien,0.889,0.889,Lotus corniculatus,Leguminosae,native,1.009,NA,Lotus corniculatus,Leguminosae,intra,33,C3
1549,Solidago gigantea,Compositae,alien,0.889,0.889,Lotus corniculatus,Leguminosae,native,0.693,NA,Lotus corniculatus,Leguminosae,intra,33,C3
1451,Solidago gigantea,Compositae,alien,4.209,4.209,Solidago canadensis,Compositae,alien,0.891,NA,Solidago canadensis,Compositae,intra,20,C6
1451,Solidago gigantea,Compositae,alien,4.209,4.209,Solidago canadensis,Compositae,alien,0.378,NA,Solidago canadensis,Compositae,intra,20,C6
88,empty,empty,empty,NA,0,Dactylis glomerata,Poaceae,native,2.93,NA,Dactylis glomerata,Poaceae,intra,0,C1
88,empty,empty,empty,NA,0,Dactylis glomerata,Poaceae,native,2.652,NA,Dactylis glomerata,Poaceae,intra,0,C1
26,empty,empty,empty,NA,0,Plantago media,Plantaginaceae,native,1.083,NA,Epilobium ciliatum,Onagraceae,inter,0,H20
26,empty,empty,empty,NA,0,Epilobium ciliatum,Onagraceae,alien,3.004,NA,Plantago media,Plantaginaceae,inter,0,H20
644,Leontodon autumnalis,Compositae,native,6.217,6.217,Dactylis glomerata,Poaceae,native,0.809,NA,Senecio inaequidens,Compositae,inter,0,H21
644,Leontodon autumnalis,Compositae,native,6.217,6.217,Senecio inaequidens,Compositae,alien,0.989,NA,Dactylis glomerata,Poaceae,inter,0,H21
697,empty,empty,empty,NA,0,Dactylis glomerata,Poaceae,native,1.246,NA,Lolium multiflorum,Poaceae,inter,0,H11
697,empty,empty,empty,NA,0,Lolium multiflorum,Poaceae,alien,1.051,NA,Dactylis glomerata,Poaceae,inter,0,H11
1110,Onobrychis viciifolia,Leguminosae,alien,0.789,0.789,Leontodon autumnalis,Compositae,native,1.807,1.436,alone,alone,alone,0,A2
79,empty,empty,empty,NA,0,Senecio inaequidens,Compositae,alien,1.371,NA,Senecio inaequidens,Compositae,intra,0,C10
79,empty,empty,empty,NA,0,Senecio inaequidens,Compositae,alien,2.188,NA,Senecio inaequidens,Compositae,intra,0,C10
819,Lolium multiflorum,Poaceae,alien,0.897,0.897,Dactylis glomerata,Poaceae,native,1.798,NA,Epilobium ciliatum,Onagraceae,inter,0,H16
819,Lolium multiflorum,Poaceae,alien,0.897,0.897,Epilobium ciliatum,Onagraceae,alien,1.018,NA,Dactylis glomerata,Poaceae,inter,0,H16
1659,Plantago media,Plantaginaceae,native,3.534,3.534,Leontodon autumnalis,Compositae,native,0.513,NA,Solidago canadensis,Compositae,inter,2,H2
1659,Plantago media,Plantaginaceae,native,3.534,3.534,Solidago canadensis,Compositae,alien,0.436,NA,Leontodon autumnalis,Compositae,inter,2,H2
1534,Solidago gigantea,Compositae,alien,1.908,1.908,Leontodon autumnalis,Compositae,native,1.012,NA,Onobrychis viciifolia,Leguminosae,inter,33,H7
1534,Solidago gigantea,Compositae,alien,1.908,1.908,Onobrychis viciifolia,Leguminosae,alien,0.285,NA,Leontodon autumnalis,Compositae,inter,33,H7
877,Lolium multiflorum,Poaceae,alien,3.474,3.474,Lotus corniculatus,Leguminosae,native,0.388,NA,Onobrychis viciifolia,Leguminosae,inter,0,H8
877,Lolium multiflorum,Poaceae,alien,3.474,3.474,Onobrychis viciifolia,Leguminosae,alien,0.099,NA,Lotus corniculatus,Leguminosae,inter,0,H8
715,Leontodon autumnalis,Compositae,native,3.839,3.839,Lotus corniculatus,Leguminosae,native,0.724,NA,Lotus corniculatus,Leguminosae,intra,0,C3
715,Leontodon autumnalis,Compositae,native,3.839,3.839,Lotus corniculatus,Leguminosae,native,0.408,NA,Lotus corniculatus,Leguminosae,intra,0,C3
890,Lolium multiflorum,Poaceae,alien,4.12,4.12,Salvia pratensis,Lamiaceae,native,0.642,NA,Senecio inaequidens,Compositae,inter,0,H24
890,Lolium multiflorum,Poaceae,alien,4.12,4.12,Senecio inaequidens,Compositae,alien,0.935,NA,Salvia pratensis,Lamiaceae,inter,0,H24
398,Dactylis glomerata,Poaceae,native,4.752,4.752,Dactylis glomerata,Poaceae,native,0.773,NA,Senecio inaequidens,Compositae,inter,0,H21
398,Dactylis glomerata,Poaceae,native,4.752,4.752,Senecio inaequidens,Compositae,alien,0.605,NA,Dactylis glomerata,Poaceae,inter,0,H21
532,Cynosurus cristatus,Poaceae,native,4.173,4.173,Senecio inaequidens,Compositae,alien,1.359,0.444,alone,alone,alone,0,A10
261,empty,empty,empty,NA,0,Leontodon autumnalis,Compositae,native,0.634,NA,Senecio inaequidens,Compositae,inter,0,H22
261,empty,empty,empty,NA,0,Senecio inaequidens,Compositae,alien,2.46,NA,Leontodon autumnalis,Compositae,inter,0,H22
1694,Plantago media,Plantaginaceae,native,4.942,4.942,Salvia pratensis,Lamiaceae,native,0.794,0.253,alone,alone,alone,2,A4
913,Lotus corniculatus,Leguminosae,native,1.816,1.816,Lotus corniculatus,Leguminosae,native,0.324,NA,Senecio inaequidens,Compositae,inter,0,H23
913,Lotus corniculatus,Leguminosae,native,1.816,1.816,Senecio inaequidens,Compositae,alien,1.116,NA,Lotus corniculatus,Leguminosae,inter,0,H23
966,Lotus corniculatus,Leguminosae,native,2.632,2.632,Leontodon autumnalis,Compositae,native,0.381,NA,Solidago canadensis,Compositae,inter,0,H2
966,Lotus corniculatus,Leguminosae,native,2.632,2.632,Solidago canadensis,Compositae,alien,0.369,NA,Leontodon autumnalis,Compositae,inter,0,H2
405,Dactylis glomerata,Poaceae,native,4.5,4.5,Dactylis glomerata,Poaceae,native,1.373,NA,Solidago canadensis,Compositae,inter,0,H1
405,Dactylis glomerata,Poaceae,native,4.5,4.5,Solidago canadensis,Compositae,alien,0.478,NA,Dactylis glomerata,Poaceae,inter,0,H1
1719,Plantago media,Plantaginaceae,native,2.881,2.881,Lotus corniculatus,Leguminosae,native,0.959,0.478,alone,alone,alone,2,A3
273,empty,empty,empty,NA,0,Lotus corniculatus,Leguminosae,native,0.761,0.39,alone,alone,alone,0,A3
767,Lolium multiflorum,Poaceae,alien,4.643,4.643,Plantago media,Plantaginaceae,native,0.227,NA,Epilobium ciliatum,Onagraceae,inter,0,H20
767,Lolium multiflorum,Poaceae,alien,4.643,4.643,Epilobium ciliatum,Onagraceae,alien,1.163,NA,Plantago media,Plantaginaceae,inter,0,H20
547,Cynosurus cristatus,Poaceae,native,2.571,2.571,Dactylis glomerata,Poaceae,native,1.856,NA,Onobrychis viciifolia,Leguminosae,inter,0,H6
547,Cynosurus cristatus,Poaceae,native,2.571,2.571,Onobrychis viciifolia,Leguminosae,alien,0.369,NA,Dactylis glomerata,Poaceae,inter,0,H6
1547,Solidago gigantea,Compositae,alien,0.247,0.247,Dactylis glomerata,Poaceae,native,2.426,NA,Dactylis glomerata,Poaceae,intra,33,C1
1547,Solidago gigantea,Compositae,alien,0.247,0.247,Dactylis glomerata,Poaceae,native,2.63,NA,Dactylis glomerata,Poaceae,intra,33,C1
802,Lolium multiflorum,Poaceae,alien,3.116,3.116,Dactylis glomerata,Poaceae,native,0.44,NA,Senecio inaequidens,Compositae,inter,0,H21
802,Lolium multiflorum,Poaceae,alien,3.116,3.116,Senecio inaequidens,Compositae,alien,1.328,NA,Dactylis glomerata,Poaceae,inter,0,H21
108,empty,empty,empty,NA,0,Lotus corniculatus,Leguminosae,native,0.225,NA,Lolium multiflorum,Poaceae,inter,0,H13
108,empty,empty,empty,NA,0,Lolium multiflorum,Poaceae,alien,2.364,NA,Lotus corniculatus,Leguminosae,inter,0,H13
1010,Lotus corniculatus,Leguminosae,native,1.951,1.951,Lotus corniculatus,Leguminosae,native,0.449,0.149,alone,alone,alone,0,A3
669,Leontodon autumnalis,Compositae,native,3.238,3.238,Onobrychis viciifolia,Leguminosae,alien,0.72,0.452,alone,alone,alone,0,A7
1634,Plantago media,Plantaginaceae,native,4.372,4.372,Dactylis glomerata,Poaceae,native,1.221,NA,Dactylis glomerata,Poaceae,intra,2,C1
1634,Plantago media,Plantaginaceae,native,4.372,4.372,Dactylis glomerata,Poaceae,native,0.664,NA,Dactylis glomerata,Poaceae,intra,2,C1
527,Cynosurus cristatus,Poaceae,native,1.042,1.042,Dactylis glomerata,Poaceae,native,1.435,NA,Solidago canadensis,Compositae,inter,0,H1
527,Cynosurus cristatus,Poaceae,native,1.042,1.042,Solidago canadensis,Compositae,alien,0.234,NA,Dactylis glomerata,Poaceae,inter,0,H1
552,Cynosurus cristatus,Poaceae,native,3.287,3.287,Plantago media,Plantaginaceae,native,0.761,NA,Onobrychis viciifolia,Leguminosae,inter,0,H10
552,Cynosurus cristatus,Poaceae,native,3.287,3.287,Onobrychis viciifolia,Leguminosae,alien,0.146,NA,Plantago media,Plantaginaceae,inter,0,H10
135,empty,empty,empty,NA,0,Plantago media,Plantaginaceae,native,1.455,NA,Solidago canadensis,Compositae,inter,0,H5
135,empty,empty,empty,NA,0,Solidago canadensis,Compositae,alien,1.339,NA,Plantago media,Plantaginaceae,inter,0,H5
1712,Plantago media,Plantaginaceae,native,2.485,2.485,Leontodon autumnalis,Compositae,native,0.397,NA,Senecio inaequidens,Compositae,inter,2,H22
1712,Plantago media,Plantaginaceae,native,2.485,2.485,Senecio inaequidens,Compositae,alien,0.465,NA,Leontodon autumnalis,Compositae,inter,2,H22
137,empty,empty,empty,NA,0,Salvia pratensis,Lamiaceae,native,1.66,1.259,alone,alone,alone,0,A4
1528,Solidago gigantea,Compositae,alien,1.339,1.339,Onobrychis viciifolia,Leguminosae,alien,0.559,0.176,alone,alone,alone,33,A7
371,Dactylis glomerata,Poaceae,native,4.069,4.069,Dactylis glomerata,Poaceae,native,2.315,NA,Epilobium ciliatum,Onagraceae,inter,0,H16
371,Dactylis glomerata,Poaceae,native,4.069,4.069,Epilobium ciliatum,Onagraceae,alien,0.344,NA,Dactylis glomerata,Poaceae,inter,0,H16
317,empty,empty,empty,NA,0,Onobrychis viciifolia,Leguminosae,alien,0.366,0.017,alone,alone,alone,0,A7
154,empty,empty,empty,NA,0,Lotus corniculatus,Leguminosae,native,0.408,NA,Senecio inaequidens,Compositae,inter,0,H23
154,empty,empty,empty,NA,0,Senecio inaequidens,Compositae,alien,3.8,NA,Lotus corniculatus,Leguminosae,inter,0,H23
474,Cynosurus cristatus,Poaceae,native,2.724,2.724,Solidago canadensis,Compositae,alien,0.607,NA,Solidago canadensis,Compositae,intra,0,C6
474,Cynosurus cristatus,Poaceae,native,2.724,2.724,Solidago canadensis,Compositae,alien,0.599,NA,Solidago canadensis,Compositae,intra,0,C6
71,empty,empty,empty,NA,0,Epilobium ciliatum,Onagraceae,alien,2.805,0.384,alone,alone,alone,0,A9
1035,Onobrychis viciifolia,Leguminosae,alien,1.558,1.558,Onobrychis viciifolia,Leguminosae,alien,0.584,0.182,alone,alone,alone,0,A7
584,Cynosurus cristatus,Poaceae,native,4.307,4.307,Epilobium ciliatum,Onagraceae,alien,1.742,NA,Epilobium ciliatum,Onagraceae,intra,0,C9
584,Cynosurus cristatus,Poaceae,native,4.307,4.307,Epilobium ciliatum,Onagraceae,alien,0.579,NA,Epilobium ciliatum,Onagraceae,intra,0,C9
1076,Onobrychis viciifolia,Leguminosae,alien,1.234,1.234,Lotus corniculatus,Leguminosae,native,0.218,NA,Lotus corniculatus,Leguminosae,intra,0,C3
1076,Onobrychis viciifolia,Leguminosae,alien,1.234,1.234,Lotus corniculatus,Leguminosae,native,0.159,NA,Lotus corniculatus,Leguminosae,intra,0,C3
876,Lolium multiflorum,Poaceae,alien,4.927,4.927,Lotus corniculatus,Leguminosae,native,0.287,NA,Epilobium ciliatum,Onagraceae,inter,0,H18
876,Lolium multiflorum,Poaceae,alien,4.927,4.927,Epilobium ciliatum,Onagraceae,alien,1.227,NA,Lotus corniculatus,Leguminosae,inter,0,H18
1177,Salvia pratensis,Lamiaceae,native,3.648,3.648,Leontodon autumnalis,Compositae,native,0.356,NA,Solidago canadensis,Compositae,inter,0,H2
1177,Salvia pratensis,Lamiaceae,native,3.648,3.648,Solidago canadensis,Compositae,alien,1.228,NA,Leontodon autumnalis,Compositae,inter,0,H2
195,empty,empty,empty,NA,0,Plantago media,Plantaginaceae,native,3.241,0.954,alone,alone,alone,0,A5
1221,Salvia pratensis,Lamiaceae,native,5.59,5.59,Plantago media,Plantaginaceae,native,0.759,NA,Epilobium ciliatum,Onagraceae,inter,0,H20
1221,Salvia pratensis,Lamiaceae,native,5.59,5.59,Epilobium ciliatum,Onagraceae,alien,1.42,NA,Plantago media,Plantaginaceae,inter,0,H20
1273,Salvia pratensis,Lamiaceae,native,4.593,4.593,Plantago media,Plantaginaceae,native,0.389,NA,Plantago media,Plantaginaceae,intra,0,C5
1273,Salvia pratensis,Lamiaceae,native,4.593,4.593,Plantago media,Plantaginaceae,native,0.552,NA,Plantago media,Plantaginaceae,intra,0,C5
157,empty,empty,empty,NA,0,Lotus corniculatus,Leguminosae,native,0.658,NA,Lotus corniculatus,Leguminosae,intra,0,C3
157,empty,empty,empty,NA,0,Lotus corniculatus,Leguminosae,native,1.258,NA,Lotus corniculatus,Leguminosae,intra,0,C3
386,Dactylis glomerata,Poaceae,native,4.835,4.835,Onobrychis viciifolia,Leguminosae,alien,0.193,NA,Onobrychis viciifolia,Leguminosae,intra,0,C7
386,Dactylis glomerata,Poaceae,native,4.835,4.835,Onobrychis viciifolia,Leguminosae,alien,0.09,NA,Onobrychis viciifolia,Leguminosae,intra,0,C7
1566,Solidago gigantea,Compositae,alien,0.737,0.737,Solidago canadensis,Compositae,alien,1.641,1.214,alone,alone,alone,33,A6
1182,Salvia pratensis,Lamiaceae,native,3.425,3.425,Leontodon autumnalis,Compositae,native,0.81,NA,Solidago canadensis,Compositae,inter,0,H2
1182,Salvia pratensis,Lamiaceae,native,3.425,3.425,Solidago canadensis,Compositae,alien,0.762,NA,Leontodon autumnalis,Compositae,inter,0,H2
1476,Solidago gigantea,Compositae,alien,3.605,3.605,Dactylis glomerata,Poaceae,native,2.472,1.454,alone,alone,alone,20,A1
693,Leontodon autumnalis,Compositae,native,3.312,3.312,Lotus corniculatus,Leguminosae,native,0.628,NA,Senecio inaequidens,Compositae,inter,0,H23
693,Leontodon autumnalis,Compositae,native,3.312,3.312,Senecio inaequidens,Compositae,alien,1.143,NA,Lotus corniculatus,Leguminosae,inter,0,H23
1130,Onobrychis viciifolia,Leguminosae,alien,1.442,1.442,Leontodon autumnalis,Compositae,native,0.462,0.178,alone,alone,alone,0,A2
1555,Solidago gigantea,Compositae,alien,1.031,1.031,Leontodon autumnalis,Compositae,native,0.837,NA,Senecio inaequidens,Compositae,inter,33,H22
1555,Solidago gigantea,Compositae,alien,1.031,1.031,Senecio inaequidens,Compositae,alien,2.067,NA,Leontodon autumnalis,Compositae,inter,33,H22
1217,Salvia pratensis,Lamiaceae,native,3.774,3.774,Leontodon autumnalis,Compositae,native,0.773,NA,Leontodon autumnalis,Compositae,intra,0,C2
1217,Salvia pratensis,Lamiaceae,native,3.774,3.774,Leontodon autumnalis,Compositae,native,0.127,NA,Leontodon autumnalis,Compositae,intra,0,C2
122,empty,empty,empty,NA,0,Plantago media,Plantaginaceae,native,0.674,NA,Lolium multiflorum,Poaceae,inter,0,H15
122,empty,empty,empty,NA,0,Lolium multiflorum,Poaceae,alien,4.678,NA,Plantago media,Plantaginaceae,inter,0,H15
946,Lotus corniculatus,Leguminosae,native,1.617,1.617,Plantago media,Plantaginaceae,native,0.791,0.347,alone,alone,alone,0,A5
1140,Onobrychis viciifolia,Leguminosae,alien,1.874,1.874,Plantago media,Plantaginaceae,native,0.45,0.162,alone,alone,alone,0,A5
458,Dactylis glomerata,Poaceae,native,7.415,7.415,Onobrychis viciifolia,Leguminosae,alien,0.265,NA,Onobrychis viciifolia,Leguminosae,intra,0,C7
458,Dactylis glomerata,Poaceae,native,7.415,7.415,Onobrychis viciifolia,Leguminosae,alien,0.134,NA,Onobrychis viciifolia,Leguminosae,intra,0,C7
45,empty,empty,empty,NA,0,Salvia pratensis,Lamiaceae,native,0.376,NA,Lolium multiflorum,Poaceae,inter,0,H14
45,empty,empty,empty,NA,0,Lolium multiflorum,Poaceae,alien,2.17,NA,Salvia pratensis,Lamiaceae,inter,0,H14
338,Dactylis glomerata,Poaceae,native,6.105,6.105,Salvia pratensis,Lamiaceae,native,0.376,NA,Onobrychis viciifolia,Leguminosae,inter,0,H9
338,Dactylis glomerata,Poaceae,native,6.105,6.105,Onobrychis viciifolia,Leguminosae,alien,0.05,NA,Salvia pratensis,Lamiaceae,inter,0,H9
1191,Salvia pratensis,Lamiaceae,native,3.118,3.118,Onobrychis viciifolia,Leguminosae,alien,0.174,0.042,alone,alone,alone,0,A7
193,empty,empty,empty,NA,0,Epilobium ciliatum,Onagraceae,alien,3.095,0.558,alone,alone,alone,0,A9
934,Lotus corniculatus,Leguminosae,native,2.545,2.545,Lotus corniculatus,Leguminosae,native,0.46,NA,Lotus corniculatus,Leguminosae,intra,0,C3
934,Lotus corniculatus,Leguminosae,native,2.545,2.545,Lotus corniculatus,Leguminosae,native,0.572,NA,Lotus corniculatus,Leguminosae,intra,0,C3
1141,Onobrychis viciifolia,Leguminosae,alien,1.051,1.051,Plantago media,Plantaginaceae,native,0.976,NA,Plantago media,Plantaginaceae,intra,0,C5
1141,Onobrychis viciifolia,Leguminosae,alien,1.051,1.051,Plantago media,Plantaginaceae,native,0.764,NA,Plantago media,Plantaginaceae,intra,0,C5
138,empty,empty,empty,NA,0,Onobrychis viciifolia,Leguminosae,alien,0.335,0.041,alone,alone,alone,0,A7
404,Dactylis glomerata,Poaceae,native,5.289,5.289,Salvia pratensis,Lamiaceae,native,1.231,0.465,alone,alone,alone,0,A4
483,Cynosurus cristatus,Poaceae,native,4.024,4.024,Plantago media,Plantaginaceae,native,0.762,NA,Plantago media,Plantaginaceae,intra,0,C5
483,Cynosurus cristatus,Poaceae,native,4.024,4.024,Plantago media,Plantaginaceae,native,0.479,NA,Plantago media,Plantaginaceae,intra,0,C5
181,empty,empty,empty,NA,0,Salvia pratensis,Lamiaceae,native,1.023,NA,Lolium multiflorum,Poaceae,inter,0,H14
181,empty,empty,empty,NA,0,Lolium multiflorum,Poaceae,alien,1.968,NA,Salvia pratensis,Lamiaceae,inter,0,H14
820,Lolium multiflorum,Poaceae,alien,4.945,4.945,Solidago canadensis,Compositae,alien,0.326,NA,Solidago canadensis,Compositae,intra,0,C6
820,Lolium multiflorum,Poaceae,alien,4.945,4.945,Solidago canadensis,Compositae,alien,0.529,NA,Solidago canadensis,Compositae,intra,0,C6
1009,Lotus corniculatus,Leguminosae,native,3.503,3.503,Lotus corniculatus,Leguminosae,native,0.545,NA,Lolium multiflorum,Poaceae,inter,0,H13
1009,Lotus corniculatus,Leguminosae,native,3.503,3.503,Lolium multiflorum,Poaceae,alien,0.92,NA,Lotus corniculatus,Leguminosae,inter,0,H13
1075,Onobrychis viciifolia,Leguminosae,alien,1.066,1.066,Dactylis glomerata,Poaceae,native,3.43,3.229,alone,alone,alone,0,A1
494,Cynosurus cristatus,Poaceae,native,2.968,2.968,Salvia pratensis,Lamiaceae,native,0.507,NA,Salvia pratensis,Lamiaceae,intra,0,C4
494,Cynosurus cristatus,Poaceae,native,2.968,2.968,Salvia pratensis,Lamiaceae,native,1.027,NA,Salvia pratensis,Lamiaceae,intra,0,C4
654,Leontodon autumnalis,Compositae,native,4.604,4.604,Leontodon autumnalis,Compositae,native,0.186,NA,Lolium multiflorum,Poaceae,inter,0,H12
654,Leontodon autumnalis,Compositae,native,4.604,4.604,Lolium multiflorum,Poaceae,alien,1.955,NA,Leontodon autumnalis,Compositae,inter,0,H12
702,Leontodon autumnalis,Compositae,native,3.988,3.988,Leontodon autumnalis,Compositae,native,0.278,NA,Epilobium ciliatum,Onagraceae,inter,0,H17
702,Leontodon autumnalis,Compositae,native,3.988,3.988,Epilobium ciliatum,Onagraceae,alien,1.537,NA,Leontodon autumnalis,Compositae,inter,0,H17
985,Lotus corniculatus,Leguminosae,native,1.778,1.778,Plantago media,Plantaginaceae,native,0.22,NA,Epilobium ciliatum,Onagraceae,inter,0,H20
985,Lotus corniculatus,Leguminosae,native,1.778,1.778,Epilobium ciliatum,Onagraceae,alien,2.082,NA,Plantago media,Plantaginaceae,inter,0,H20
860,Lolium multiflorum,Poaceae,alien,5.272,5.272,Plantago media,Plantaginaceae,native,0.814,NA,Lolium multiflorum,Poaceae,inter,0,H15
860,Lolium multiflorum,Poaceae,alien,5.272,5.272,Lolium multiflorum,Poaceae,alien,0.402,NA,Plantago media,Plantaginaceae,inter,0,H15
227,empty,empty,empty,NA,0,Dactylis glomerata,Poaceae,native,2.983,NA,Lolium multiflorum,Poaceae,inter,0,H11
227,empty,empty,empty,NA,0,Lolium multiflorum,Poaceae,alien,1.319,NA,Dactylis glomerata,Poaceae,inter,0,H11
1514,Solidago gigantea,Compositae,alien,0.72,0.72,Onobrychis viciifolia,Leguminosae,alien,0.52,NA,Onobrychis viciifolia,Leguminosae,intra,33,C7
1514,Solidago gigantea,Compositae,alien,0.72,0.72,Onobrychis viciifolia,Leguminosae,alien,0.686,NA,Onobrychis viciifolia,Leguminosae,intra,33,C7
478,Cynosurus cristatus,Poaceae,native,2.847,2.847,Lotus corniculatus,Leguminosae,native,1.183,NA,Lolium multiflorum,Poaceae,inter,0,H13
478,Cynosurus cristatus,Poaceae,native,2.847,2.847,Lolium multiflorum,Poaceae,alien,0.181,NA,Lotus corniculatus,Leguminosae,inter,0,H13
1374,Salvia verticillata,Lamiaceae,alien,3.753,3.753,Plantago media,Plantaginaceae,native,0.32,NA,Plantago media,Plantaginaceae,intra,28,C5
1374,Salvia verticillata,Lamiaceae,alien,3.753,3.753,Plantago media,Plantaginaceae,native,0.62,NA,Plantago media,Plantaginaceae,intra,28,C5
1685,Plantago media,Plantaginaceae,native,3.213,3.213,Dactylis glomerata,Poaceae,native,2.094,NA,Dactylis glomerata,Poaceae,intra,2,C1
1685,Plantago media,Plantaginaceae,native,3.213,3.213,Dactylis glomerata,Poaceae,native,1.619,NA,Dactylis glomerata,Poaceae,intra,2,C1
1458,Solidago gigantea,Compositae,alien,3.223,3.223,Dactylis glomerata,Poaceae,native,2.033,NA,Epilobium ciliatum,Onagraceae,inter,20,H16
1458,Solidago gigantea,Compositae,alien,3.223,3.223,Epilobium ciliatum,Onagraceae,alien,0.345,NA,Dactylis glomerata,Poaceae,inter,20,H16
1560,Solidago gigantea,Compositae,alien,0.405,0.405,Senecio inaequidens,Compositae,alien,3.552,1.513,alone,alone,alone,33,A10
1209,Salvia pratensis,Lamiaceae,native,3.26,3.26,Lotus corniculatus,Leguminosae,native,0.631,0.2,alone,alone,alone,0,A3
310,empty,empty,empty,NA,0,Salvia pratensis,Lamiaceae,native,0.804,NA,Senecio inaequidens,Compositae,inter,0,H24
310,empty,empty,empty,NA,0,Senecio inaequidens,Compositae,alien,3.24,NA,Salvia pratensis,Lamiaceae,inter,0,H24
1484,Solidago gigantea,Compositae,alien,2.165,2.165,Dactylis glomerata,Poaceae,native,2.094,NA,Onobrychis viciifolia,Leguminosae,inter,20,H6
1484,Solidago gigantea,Compositae,alien,2.165,2.165,Onobrychis viciifolia,Leguminosae,alien,0.188,NA,Dactylis glomerata,Poaceae,inter,20,H6
1644,Plantago media,Plantaginaceae,native,3.218,3.218,Salvia pratensis,Lamiaceae,native,1.745,NA,Salvia pratensis,Lamiaceae,intra,2,C4
1644,Plantago media,Plantaginaceae,native,3.218,3.218,Salvia pratensis,Lamiaceae,native,0.853,NA,Salvia pratensis,Lamiaceae,intra,2,C4
1480,Solidago gigantea,Compositae,alien,2.055,2.055,Solidago canadensis,Compositae,alien,0.97,0.375,alone,alone,alone,20,A6
323,empty,empty,empty,NA,0,Salvia pratensis,Lamiaceae,native,1.802,NA,Epilobium ciliatum,Onagraceae,inter,0,H19
323,empty,empty,empty,NA,0,Epilobium ciliatum,Onagraceae,alien,1.381,NA,Salvia pratensis,Lamiaceae,inter,0,H19
968,Lotus corniculatus,Leguminosae,native,1.752,1.752,Salvia pratensis,Lamiaceae,native,1.144,NA,Senecio inaequidens,Compositae,inter,0,H24
968,Lotus corniculatus,Leguminosae,native,1.752,1.752,Senecio inaequidens,Compositae,alien,0.599,NA,Salvia pratensis,Lamiaceae,inter,0,H24
1138,Onobrychis viciifolia,Leguminosae,alien,1.061,1.061,Lolium multiflorum,Poaceae,alien,1.36,NA,Lolium multiflorum,Poaceae,intra,0,C8
1138,Onobrychis viciifolia,Leguminosae,alien,1.061,1.061,Lolium multiflorum,Poaceae,alien,2.139,NA,Lolium multiflorum,Poaceae,intra,0,C8
910,Lotus corniculatus,Leguminosae,native,2.246,2.246,Salvia pratensis,Lamiaceae,native,1.732,NA,Solidago canadensis,Compositae,inter,0,H4
910,Lotus corniculatus,Leguminosae,native,2.246,2.246,Solidago canadensis,Compositae,alien,0.501,NA,Salvia pratensis,Lamiaceae,inter,0,H4
63,empty,empty,empty,NA,0,Plantago media,Plantaginaceae,native,0.686,NA,Senecio inaequidens,Compositae,inter,0,H25
63,empty,empty,empty,NA,0,Senecio inaequidens,Compositae,alien,3.014,NA,Plantago media,Plantaginaceae,inter,0,H25
1622,Plantago media,Plantaginaceae,native,3.62,3.62,Dactylis glomerata,Poaceae,native,2.664,NA,Epilobium ciliatum,Onagraceae,inter,2,H16
1622,Plantago media,Plantaginaceae,native,3.62,3.62,Epilobium ciliatum,Onagraceae,alien,0.408,NA,Dactylis glomerata,Poaceae,inter,2,H16
1242,Salvia pratensis,Lamiaceae,native,4.399,4.399,Lolium multiflorum,Poaceae,alien,2.043,2.856,alone,alone,alone,0,A8
501,Cynosurus cristatus,Poaceae,native,4.532,4.532,Plantago media,Plantaginaceae,native,0.299,NA,Epilobium ciliatum,Onagraceae,inter,0,H20
501,Cynosurus cristatus,Poaceae,native,4.532,4.532,Epilobium ciliatum,Onagraceae,alien,1.978,NA,Plantago media,Plantaginaceae,inter,0,H20
1043,Onobrychis viciifolia,Leguminosae,alien,1.25,1.25,Epilobium ciliatum,Onagraceae,alien,1.491,NA,Epilobium ciliatum,Onagraceae,intra,0,C9
1043,Onobrychis viciifolia,Leguminosae,alien,1.25,1.25,Epilobium ciliatum,Onagraceae,alien,1.279,NA,Epilobium ciliatum,Onagraceae,intra,0,C9
1089,Onobrychis viciifolia,Leguminosae,alien,1.652,1.652,Leontodon autumnalis,Compositae,native,0.999,NA,Onobrychis viciifolia,Leguminosae,inter,0,H7
1089,Onobrychis viciifolia,Leguminosae,alien,1.652,1.652,Onobrychis viciifolia,Leguminosae,alien,0.396,NA,Leontodon autumnalis,Compositae,inter,0,H7
