"","X2","P","X2.1","P.1","X2.2","P.2","X2.3","P.3","X2.4","P.4","X2.5","P.5"
"trans_date_c","0.298","0.585","5.329","0.021*","7.911","0.005*","2.789","0.095†","8.487","0.004*","0.364","0.546"
"T1_empty","0.647","0.421","0.001","0.982","0.058","0.809","0.260","0.610","0.144","0.704","0.038","0.845"
"T2_alien_native","0.180","0.671","0.211","0.646","0.386","0.535","1.375","0.241","0.008","0.930","0.002","0.966"
"Random effects","SD","","SD","","SD","","SD","","SD","","SD",""
"Family","0.045","","0.000","","0.001","","0.000","","0.000","","0.000",""
"Species","0.057","","0.000","","0.001","","0.000","","1.585","","0.000",""
"Residual","601.913","","0.255","","28.912","","0.588","","5.975","","0.587",""
